job_url;title;company;description;niveau_etudes;niveau_experience;contrat;region;competences;publication_date;via;titre_homogene;secteur;niveau_qualification
;Ingénieurs Projets (Génie Informatique) | Jorf Lasfar (Maroc);;Pour nos besoins réguliers en profils d'ingénieurs juniors au sein de notre site industriel de Jorf Lasfar, vos missions (entre autres) seront les suivantes : Conception, planification et exécution des projets...;Bac +5 et plus;Débutant;CDI - Télétravail : Non;;le candidat idéal pour ce poste est titulaire d'un bac +5 ou plus, avec une spécialisation en génie informatique (spécialités en data, ia, infra et cloud). une formation complémentaire en gestion de projet serait un atout.;2025-04-14;Rekrute;Ingénieur Informatique;Informatique;5
;Technical Leader DATAbricks (H/F) | Casablanca (Maroc);;Intégré(e) au sein d'une équipe projets intervenant pour des clients dans des secteurs d'activités variées, vous serez notamment en charge des missions suivantes :  Développer des flux...;Bac +5 et plus;De 3 à 5 ans;CDI - Télétravail : Hybride;;expertise databricks;2025-04-14;Rekrute;Leader Technique Data;Data;5
;Architecte DATA (H/F) | Casablanca (Maroc);;Intégré(e) au sein d'une équipe projets intervenant pour des clients dans des secteurs d'activités variées, vous serez notamment en charge des missions suivantes : Vous répondez aux problématiques...;Bac +5 et plus;De 3 à 5 ans;CDI - Télétravail : Hybride;;formation bac + 5 en école d’ingénieur ou équivalent universitaire avec une spécialisation big data,;2025-04-14;Rekrute;Architecte Data;Informatique;5
;Tech Lead DATA GCP (H/F) | Casablanca (Maroc);;Intégré(e) au sein d'une équipe projets intervenant pour des clients dans des secteurs d'activités variées, vous serez notamment en charge des missions suivantes : Accompagner des équipes métiers...;Bac +5 et plus;De 3 à 5 ans;CDI - Télétravail : Hybride;;expertise sur les services cloud data platform gcp : bigquery, cloud storage, dataproc, dataflow, cloud composer, vertex ai, looker…;2025-04-14;Rekrute;Tech Lead Data;Informatique;5
;Big DATA Engineer | Casablanca (Maroc);;We need a Data Engineer who thrives at the intersection of Backend Development and Data Engineering. If you have strong Python skills, fluency in SQL / Data Modeling, and experience working with big data technologies, you're exactly who we need...;Bac +5 et plus;De 1 à 3 ans;CDI - Télétravail : Hybride;;join us to leverage your big data expertise and contribute to innovative projects in a dynamic and supportive environment!;2025-04-14;Rekrute;Ingénieur Big Data;Informatique;3
;Senior UX | Casablanca (Maroc);;As a Senior UX, you will play a key role in defining and evolving the user experience of our products, with a strong Product Management approach. You will work closely with product, development, and business teams to create innovative, intuitive, and...;Bac +3;De 3 à 5 ans - De 5 à 10 ans;CDI - Télétravail : Hybride;;proven experience in ux/ui design, preferably in a saas, ai, or data-driven environment.;2025-04-14;Rekrute;Designer UX Senior;Design;4
;Lead DATA Scientist | Casablanca (Maroc);;Main Responsibilities: • Support for the realization of various Data Science projects and participation in the success of our customers in many sectors of activity (health, industries, communications, financial services, etc.). • Frame and...;Bac +5 et plus;De 3 à 5 ans;CDI - Télétravail : Hybride;;qualifications: • master’s degree in engineering or doctor specialized in statistical analysis and computer programming or from a university with a major in data science, statistics or applied mathematics. • would be a plus: certifications in statistics / big data / machine learning. • 4+ years of experience in the same position. • fluent in french & english technical skills: • knowledge of statistics and machine learning. • mastery of analytical modeling tools, decision trees and neural networks (logistic, linear regression, etc.) and feature engineering. • mastery of technologies and models: xgboost, tensorflow, random forest, svm, etc. • ability to produce supervised and unsupervised models. • master of smote “the synthetic minority over-sampling technique”. • ability to analyze and extract insights from structured (in-depth knowledge of sql) and unstructured data. • be able to present the results of the models: lift curve, roc-auc, f1 score, recall, accuracy, confusion matrix, etc. • understanding of linear algebra and statistics. • development experience to extract and query data (python, r, spark, java). behavioral skills: • intellectual curiosity, initiative, proactivity. • organizational capacities. • autonomy, interpersonal skills, facilitator. • excellent written and oral communication skills.;2025-04-14;Rekrute;Data Scientist;Data Science;4
;stagiaires PFE en DATAviz | Rabat (Maroc);;Création de dashboards interactifs (performance, sécurité réseau) Analyse de données avec Python Automatisation de rapports via Power BI et Excel;Bac +5 et plus;Débutant - Moins de 1 an;Stage - Télétravail : Hybride;;;2025-04-11;Rekrute;Stagiaire en Data Visualization;Data Science;1
;DATA Analyst | Rabat (Maroc);;Nous recrutons actuellement un Business Data Analyst pour rejoindre notre équipe dans notre nouveau centre situé à Rabat. Finalité du Poste : L'Analyste de Données Commerciales est responsable de l'analyse...;Bac +5 et plus;De 5 à 10 ans;CDI - Télétravail : Hybride;;bac+5 en data analysis, business intelligence, statistique ou dans un domaine connexe.;2025-04-11;Rekrute;Analyste de Données;Data;5
;Staffing Specialist | Casablanca (Maroc);;Staffing is a business-critical function at the heart of what we do at BCG. As a Staffing Specialist, your primary responsibility will be to allocate consultants to client cases, ensuring an optimal balance between business needs and consultant...;Bac +4;De 3 à 5 ans - De 5 à 10 ans;CDI - Télétravail : Hybride;;"analytical skills, capable of summarizing data in an appropriate format ;";2025-04-11;Rekrute;Spécialiste Recrutement;Recrutement;1
