job_url,title,company,description,niveau_etudes,niveau_experience,contrat,region,competences,publication_date,via,titre_homogene,secteur,niveau_qualification
,Architecte (H/F) | Casablanca (Maroc),,Conception d'Architectures Techniques : Analyser les besoins techniques et concevoir des solutions performantes. Rédiger et valider le dossier d'architecture technique (DAT). Valider les choix techniques et réaliser des...,Bac +5 et plus,De 5 à 10 ans,CDI - Télétravail : Hybride,,"expérience avec spring (boot, data jpa, security, cloud [config server, eureka, gateway, zipkin], docker compose).",2025-04-08,['Rekrute'],Data Architect,Data,3
,Ingénieur Réseau Sécurité | Casablanca (Maroc),,"Administration/exploitation fonctionnelle et technique des solutions/infrastructures/ services réseau, sécurité et télécom. Documentation technique des infrastructures gérées Gestion des incidents, gestion...",Bac +5 et plus,De 1 à 3 ans - De 3 à 5 ans,CDI - Télétravail : Hybride,,"bonne connaissance des équipements cisco (nexus / catalyst / asr) maîtrise du routage statique et dynamique (eigrp/ bgp / ospf / mpls / ...) bonne connaissance des solutions de sécurité ( configuration des firewall , proxy web) forte expertise dans un ou plusieurs domaine(s) technique(s) télécom, réseaux ou datacenter aptitudes comportementales :",2025-04-08,['Rekrute'],,Banque / Finance - Informatique,
,Proxy PO BigDATA | Casablanca (Maroc),,Dans le cadre de notre centre de services international à Casablanca nous recrutons un PO Proxy sur une activité BigData Vous serez amené dans le cadre d’un projet agile à: • Animer des ateliers avec les...,Bac +5 et plus,De 3 à 5 ans,CDI - Télétravail : Hybride,,"de formation supérieure en informatique, vous disposez d’une expérience de 5 ans et plus au sein de projet de développement, idéalement des projets bigdata.",2025-04-08,['Rekrute'],Data Engineer,Informatique,3
,DATA Analyst (H/F) | Fès (Maroc),,Nous recherchons un(e) Data Analyst junior passionné(e) pour rejoindre notre équipe. Il/elle sera responsable de : Conception et déploiement des systèmes d'IA. Modélisation avancée pour résoudre...,Bac +5 et plus,Moins de 1 an - De 1 à 3 ans,CDI - Télétravail : Hybride,,,2025-04-08,['Rekrute'],Data Analyst,Data,2
,Lead DATA Scientist | Casablanca (Maroc),,"Main Responsibilities: • Support for the realization of various Data Science projects and participation in the success of our customers in many sectors of activity (health, industries, communications, financial services, etc.). • Frame and...",Bac +5 et plus,De 3 à 5 ans,CDI - Télétravail : Hybride,,"qualifications: • master’s degree in engineering or doctor specialized in statistical analysis and computer programming or from a university with a major in data science, statistics or applied mathematics. • would be a plus: certifications in statistics / big data / machine learning. • 4+ years of experience in the same position. • fluent in french & english technical skills: • knowledge of statistics and machine learning. • mastery of analytical modeling tools, decision trees and neural networks (logistic, linear regression, etc.) and feature engineering. • mastery of technologies and models: xgboost, tensorflow, random forest, svm, etc. • ability to produce supervised and unsupervised models. • master of smote “the synthetic minority over-sampling technique”. • ability to analyze and extract insights from structured (in-depth knowledge of sql) and unstructured data. • be able to present the results of the models: lift curve, roc-auc, f1 score, recall, accuracy, confusion matrix, etc. • understanding of linear algebra and statistics. • development experience to extract and query data (python, r, spark, java). behavioral skills: • intellectual curiosity, initiative, proactivity. • organizational capacities. • autonomy, interpersonal skills, facilitator. • excellent written and oral communication skills.",2025-04-07,['Rekrute'],Data Scientist,Data,4
,Big DATA Engineer | Casablanca (Maroc),,"We need a Data Engineer who thrives at the intersection of Backend Development and Data Engineering. If you have strong Python skills, fluency in SQL / Data Modeling, and experience working with big data technologies, you're exactly who we need...",Bac +5 et plus,De 1 à 3 ans,CDI - Télétravail : Hybride,,join us to leverage your big data expertise and contribute to innovative projects in a dynamic and supportive environment!,2025-04-07,['Rekrute'],Data Engineer,Informatique,3
,"Responsable Analyse des Données, Reporting et Suivi des Performances | Rabat (Maroc)",,"Nous recherchons un profil au poste de ""Responsable Analyse des Données, Reporting et Suivi des Performances"". Ses principales missions : • Mettre en place des normes de gouvernance, de qualité et de sécurité...",Bac +5 et plus,De 3 à 5 ans - De 5 à 10 ans,CDI - Télétravail : Non,,"• diplôme d’ingénieur d’etat (ou équivalent) ou bac+5 en data engineering/data science (ou équivalent). • expérience significative (plus de 3 ans) dans des postes de gestion et analyse des données. • expérience avec des plateformes big data. • expérience avec business object et sap. • expérience dans l’élaboration de politiques et normes pour garantir la qualité, la sécurité, et l’interopérabilité des données à l’échelle de l’organisation. • connaissance des frameworks de gestion des données. • connaissance des réglementations et normes en la matière (lois, iso 27001,…). • capacité à travailler en étroite collaboration avec d’autres services pour intégrer les solutions et assurer leur bon fonctionnement. • capacité à s'adapter aux évolutions technologiques.",2025-04-05,['Rekrute'],Data Engineer/Scientist,Data,4
,DATA Analyst senior SQL | Rabat (Maroc),,"Nous travaillons avec les équipes business, product management et design pour concevoir des outils ergonomiques et fiables. Nous recherchons un Data Analyst Senior passionné et expérimenté dans l'analyse de données...",Bac +5 et plus,De 5 à 10 ans,CDI - Télétravail : Hybride,,"bonne maîtrise des bases de données sql / nosql (dbl, postgresql, mongodb…) excellente maîtrise de sql et expérience avec bigquery. expertise dans la création et l’optimisation de dashboards sous looker studio. excellente communication écrite et orale : aptitude à produire des livrables et des reportings de haute qualité. expertise en python (pandas, numpy, pyspark…) esprit d'analyse et d'amélioration continue : capacité à évaluer le code et ses impacts, ainsi qu'à remettre en question les solutions existantes pour les améliorer. compréhension des principes devops et cloud (aws, gcp, azure) connaissance des architectures data modernes (data lake, data warehouse) capacité de prise de recul : aptitude à évaluer les problématiques avec objectivité et à proposer des solutions d'amélioration. esprit d'équipe : capacité à collaborer efficacement avec les membres de l'équipe pour atteindre des objectifs communs. maîtrise des concepts d’agilité (scrum, sprint planning, backlog…). capacité à travailler de manière autonome et à gérer son temps efficacement. gestion des versions et ci/cd avec gitlab ci",2025-04-04,['Rekrute'],Data Analyst,Data,3
,Senior Product Owner / Manager | Casablanca (Maroc),,"As a Senior Product Owner/Manager at InnovX, you will be responsible for leading the development and execution of our Agritech product strategy. You will collaborate with cross-functional teams, including engineers, designers, and agronomists, to deliver...",Bac +5 et plus,De 5 à 10 ans - De 10 à 20 ans,CDI - Télétravail : Hybride,,"qualifications: • experience: 7+ years of experience in product management or ownership, with a significant focus on agritech products. • agriculture knowledge: deep understanding of the agriculture industry, including knowledge of farming practices and technology trends. • product leadership: proven ability to lead cross-functional product teams and drive product development from concept to launch. • customer-centric: strong customer empathy and the ability to translate customer needs into product features. • data-driven: comfortable with data analysis and using data to inform product decisions. • agile methodology: experience with agile development methodologies and tools. • communication: excellent communication and interpersonal skills. • problem solver: strong problem-solving skills and the ability to adapt in a rapidly changing environment. • education: bachelor's or master's degree in agriculture, agronomy, business, or a related field.",2025-04-04,['Rekrute'],Product Owner,Agritech,4
,Operations Engineer - Mining Operations Lab | Benguerir (Maroc),,"Missions : • Veiller à l’atteinte des objectifs de production (tonnage, qualité, récupération). • Piloter la performance globale du site. • Opérer dans l’excellence en mettant en place les...",Bac +5 et plus,De 3 à 5 ans - De 5 à 10 ans,CDI - Télétravail : Hybride,,"• planification minière (court, moyen et long terme) • géologie, géotechnique • gestion des entreprises et des contrats • planification des investissements • systèmes de maintenance et de gestion des actifs • suivi et pilotage de la production via un erp • data management • risk management • quality management • gestion de la performance • leadership • communication • manipulation des outils de planification minière",2025-04-04,['Rekrute'],,Energie - Extraction / Mines,
